series_id,game_number,game_attempt,match_id,folder,higher_seed,higher_model,lower_seed,lower_model,hermes_seed,hermes_model,openclaw_seed,openclaw_model,winner_seed,winner_model,hands_played,termination_reason,total_action_count,total_auto_action_count,total_error_count,total_repaired_action_count,total_cost_micros,max_decision_latency_ms,round,round_label,series_score_after_game,report_file,source_match_id
qf_c,5,1,01KRC390KG1QTZ1RR9M7Q6M81E,matches/round1-grok4.3-vs-kimi-k2.6-match5,3,Grok 4.3,6,Kimi K2.6,3,Grok 4.3,6,Kimi K2.6,3,Grok 4.3,53,bankruptcy,199,0,0,4,83113,11804,quarterfinal,round1,,report.html,01KRC390KG1QTZ1RR9M7Q6M81E
qf_c,6,2,01KRC4KDV039SQ0BP08XA8FYZ7,matches/round1-grok4.3-vs-kimi-k2.6-match6,3,Grok 4.3,6,Kimi K2.6,6,Kimi K2.6,3,Grok 4.3,6,Kimi K2.6,100,hands_complete,317,0,0,5,134188,19277,quarterfinal,round1,,report.html,01KRC4KDV039SQ0BP08XA8FYZ7
qf_c,7,1,01KRC5MMPSKEQYHDARWWEC64Q7,matches/round1-grok4.3-vs-kimi-k2.6-match7,3,Grok 4.3,6,Kimi K2.6,3,Grok 4.3,6,Kimi K2.6,6,Kimi K2.6,100,hands_complete,338,0,0,6,143284,13753,quarterfinal,round1,,report.html,01KRC5MMPSKEQYHDARWWEC64Q7
qf_d,1,1,01KRC6PS1G2E9J57X1KEDBN43G,matches/round1-opus4.7-vs-glm-5.1-match1,2,Opus 4.7,7,GLM-5.1,2,Opus 4.7,7,GLM-5.1,2,Opus 4.7,96,bankruptcy,350,0,0,1,589746,33522,quarterfinal,round1,,report.html,01KRC6PS1G2E9J57X1KEDBN43G
qf_d,2,1,01KRC894R7SVDC4PP72FEFYEMQ,matches/round1-opus4.7-vs-glm-5.1-match2,2,Opus 4.7,7,GLM-5.1,7,GLM-5.1,2,Opus 4.7,2,Opus 4.7,100,hands_complete,317,0,0,7,545429,27987,quarterfinal,round1,,report.html,01KRC894R7SVDC4PP72FEFYEMQ
qf_d,3,1,01KRC9QFAW55G1WZGNJYQV9NWW,matches/round1-opus4.7-vs-glm-5.1-match3,2,Opus 4.7,7,GLM-5.1,2,Opus 4.7,7,GLM-5.1,2,Opus 4.7,1,bankruptcy,9,0,0,0,8257,3951,quarterfinal,round1,,report.html,01KRC9QFAW55G1WZGNJYQV9NWW
qf_d,4,1,01KRC9RJ6FYT3M6DVV89SAWN4M,matches/round1-opus4.7-vs-glm-5.1-match4,2,Opus 4.7,7,GLM-5.1,7,GLM-5.1,2,Opus 4.7,7,GLM-5.1,32,bankruptcy,138,0,0,1,244476,22917,quarterfinal,round1,,report.html,01KRC9RJ6FYT3M6DVV89SAWN4M
qf_d,5,1,01KRCAAGZCEM5YY555N270GW4Z,matches/round1-opus4.7-vs-glm-5.1-match5,2,Opus 4.7,7,GLM-5.1,2,Opus 4.7,7,GLM-5.1,2,Opus 4.7,1,bankruptcy,7,0,0,1,10938,12344,quarterfinal,round1,,report.html,01KRCAAGZCEM5YY555N270GW4Z
sf_a,1,2,01KRGHWWMCYN089X9WE609D4AX,matches/round2-gpt5.5-vs-gemini-3.1-pro-preview-match1,1,GPT-5.5,4,Gemini 3.1 Pro Preview,1,GPT-5.5,4,Gemini 3.1 Pro Preview,4,Gemini 3.1 Pro Preview,15,bankruptcy,50,0,0,0,120563,10802,semifinal,round2,,report.html,01KRGHWWMCYN089X9WE609D4AX
sf_a,2,23,01KRH1Z1C1WG2QAPJ3Q1G85W38,matches/round2-gpt5.5-vs-gemini-3.1-pro-preview-match2,1,GPT-5.5,4,Gemini 3.1 Pro Preview,4,Gemini 3.1 Pro Preview,1,GPT-5.5,4,Gemini 3.1 Pro Preview,100,hands_complete,354,0,0,8,917018,32072,semifinal,round2,,report.html,01KRH1Z1C1WG2QAPJ3Q1G85W38
sf_a,3,4,01KRH534FHJZFJFV282Q4FQET2,matches/round2-gpt5.5-vs-gemini-3.1-pro-preview-match3,1,GPT-5.5,4,Gemini 3.1 Pro Preview,1,GPT-5.5,4,Gemini 3.1 Pro Preview,1,GPT-5.5,41,bankruptcy,164,0,0,5,424605,17774,semifinal,round2,,report.html,01KRH534FHJZFJFV282Q4FQET2
sf_a,4,1,01KRH5TCZBZPEEG5KWKBTCJC51,matches/round2-gpt5.5-vs-gemini-3.1-pro-preview-match4,1,GPT-5.5,4,Gemini 3.1 Pro Preview,4,Gemini 3.1 Pro Preview,1,GPT-5.5,4,Gemini 3.1 Pro Preview,46,bankruptcy,135,0,0,1,331422,16991,semifinal,round2,,report.html,01KRH5TCZBZPEEG5KWKBTCJC51
sf_a,5,2,01KRH71MF1JV7D7QVCPN73GWJ7,matches/round2-gpt5.5-vs-gemini-3.1-pro-preview-match5,1,GPT-5.5,4,Gemini 3.1 Pro Preview,1,GPT-5.5,4,Gemini 3.1 Pro Preview,1,GPT-5.5,60,bankruptcy,236,0,0,2,592694,16126,semifinal,round2,,report.html,01KRH71MF1JV7D7QVCPN73GWJ7
sf_a,6,2,01KRH8F9RDPDY0N1DN3WVD766A,matches/round2-gpt5.5-vs-gemini-3.1-pro-preview-match6,1,GPT-5.5,4,Gemini 3.1 Pro Preview,4,Gemini 3.1 Pro Preview,1,GPT-5.5,4,Gemini 3.1 Pro Preview,35,bankruptcy,113,0,0,7,294702,16020,semifinal,round2,,report.html,01KRH8F9RDPDY0N1DN3WVD766A
sf_b,1,1,01KRH8ZMCZ1N5Q10H4MRFXYXKE,matches/round2-opus4.7-vs-kimi-k2.6-match1,2,Opus 4.7,6,Kimi K2.6,2,Opus 4.7,6,Kimi K2.6,6,Kimi K2.6,42,bankruptcy,130,0,0,0,203264,12001,semifinal,round2,,report.html,01KRH8ZMCZ1N5Q10H4MRFXYXKE
sf_b,2,1,01KRH9EZMAMAM1ASGA5XA6CKM9,matches/round2-opus4.7-vs-kimi-k2.6-match2,2,Opus 4.7,6,Kimi K2.6,6,Kimi K2.6,2,Opus 4.7,2,Opus 4.7,4,bankruptcy,10,0,0,1,14452,7205,semifinal,round2,,report.html,01KRH9EZMAMAM1ASGA5XA6CKM9
sf_b,3,1,01KRH9GKP31H3GD5YY3P1BG31X,matches/round2-opus4.7-vs-kimi-k2.6-match3,2,Opus 4.7,6,Kimi K2.6,2,Opus 4.7,6,Kimi K2.6,6,Kimi K2.6,2,bankruptcy,8,0,0,0,484,3620,semifinal,round2,,report.html,01KRH9GKP31H3GD5YY3P1BG31X
sf_b,4,1,01KRH9HP113V6RDN7YBRWKM9SQ,matches/round2-opus4.7-vs-kimi-k2.6-match4,2,Opus 4.7,6,Kimi K2.6,6,Kimi K2.6,2,Opus 4.7,6,Kimi K2.6,26,bankruptcy,81,0,0,0,120535,12498,semifinal,round2,,report.html,01KRH9HP113V6RDN7YBRWKM9SQ
sf_b,5,1,01KRH9TWVP46N1W1Q3HPGJFXKN,matches/round2-opus4.7-vs-kimi-k2.6-match5,2,Opus 4.7,6,Kimi K2.6,2,Opus 4.7,6,Kimi K2.6,2,Opus 4.7,39,bankruptcy,115,0,0,1,167680,12378,semifinal,round2,,report.html,01KRH9TWVP46N1W1Q3HPGJFXKN
sf_b,6,1,01KRHA7R67BFPA6ZKRAEPJ99D0,matches/round2-opus4.7-vs-kimi-k2.6-match6,2,Opus 4.7,6,Kimi K2.6,6,Kimi K2.6,2,Opus 4.7,6,Kimi K2.6,23,bankruptcy,43,0,0,1,66235,7903,semifinal,round2,,report.html,01KRHA7R67BFPA6ZKRAEPJ99D0
finals,1,1,01KRHB5XKRETRQRMENWSRRJBV5,matches/round3-gemini-3.1-pro-preview-vs-kimi-k2.6-match1,4,Gemini 3.1 Pro Preview,6,Kimi K2.6,4,Gemini 3.1 Pro Preview,6,Kimi K2.6,4,Gemini 3.1 Pro Preview,90,bankruptcy,164,0,0,9,240674,16162,final,round3,,report.html,01KRHB5XKRETRQRMENWSRRJBV5
finals,2,1,01KRHBZMWMJPFG0GNTB0G09MVV,matches/round3-gemini-3.1-pro-preview-vs-kimi-k2.6-match2,4,Gemini 3.1 Pro Preview,6,Kimi K2.6,6,Kimi K2.6,4,Gemini 3.1 Pro Preview,6,Kimi K2.6,74,bankruptcy,106,0,0,13,170464,14671,final,round3,,report.html,01KRHBZMWMJPFG0GNTB0G09MVV
finals,3,2,01KRHCRPWBSFP8NP661689YV9A,matches/round3-gemini-3.1-pro-preview-vs-kimi-k2.6-match3,4,Gemini 3.1 Pro Preview,6,Kimi K2.6,4,Gemini 3.1 Pro Preview,6,Kimi K2.6,6,Kimi K2.6,8,bankruptcy,25,0,0,6,50851,20158,final,round3,,report.html,01KRHCRPWBSFP8NP661689YV9A
finals,4,1,01KRHCXP8MCYNAWEX9GH2E07Y5,matches/round3-gemini-3.1-pro-preview-vs-kimi-k2.6-match4,4,Gemini 3.1 Pro Preview,6,Kimi K2.6,6,Kimi K2.6,4,Gemini 3.1 Pro Preview,6,Kimi K2.6,100,hands_complete,180,0,0,8,267086,22803,final,round3,,report.html,01KRHCXP8MCYNAWEX9GH2E07Y5
finals,5,1,01KRHDY9XS8TF4TMGQECYTP3TV,matches/round3-gemini-3.1-pro-preview-vs-kimi-k2.6-match5,4,Gemini 3.1 Pro Preview,6,Kimi K2.6,4,Gemini 3.1 Pro Preview,6,Kimi K2.6,4,Gemini 3.1 Pro Preview,57,bankruptcy,118,0,0,8,176561,14431,final,round3,,report.html,01KRHDY9XS8TF4TMGQECYTP3TV
finals,6,1,01KRHEJWN7NGRR22J377DJHV74,matches/round3-gemini-3.1-pro-preview-vs-kimi-k2.6-match6,4,Gemini 3.1 Pro Preview,6,Kimi K2.6,6,Kimi K2.6,4,Gemini 3.1 Pro Preview,6,Kimi K2.6,44,bankruptcy,96,0,0,6,146258,21008,final,round3,,report.html,01KRHEJWN7NGRR22J377DJHV74
